#Powered_by_ParaTranz
AI_FEARS_US_TITLE1;$TAG_0_0_UPPER$ Fears Our Might!
dino_fake_1860_5;E.D. Cope reported a new marine reptile, related to Plesiosaurus but with a much longer tail.
dino_fake_1860_title_6;Archaeopteryx
dino_fake_1860_6;Fossils of Archaeopteryx were discovered in Bavaria, considered "the first bird" and the "missing link between dinosaurs and birds." It constituted evidence for Darwin's theory of evolution.
dino_fake_1860_title_7;Macrogryphosaurus
dino_fake_1860_7;Mr. Mather reported the discovery of vertebrae and large egg fragments of a possible dinosaur called Macrogryphosaurus in the Fiovo basin.
dino_fake_1870_title_1;War!
dino_fake_1870_1;After Dr. Marsh publicly pointed out that Dr. Cope had mistakenly reversed the head and tail of Elasmosaurus, the two became sworn enemies, and a fierce scientific rivalry was born.
dino_fake_1870_title_2;On Archaeopteryx
dino_fake_1870_2;New fossils of the primitive bird Archaeopteryx strikingly reveal many reptilian features such as claws and teeth. Evolutionists have been greatly encouraged, calling it the "missing evolutionary link."
dino_fake_1870_title_3;Professor Huxley's Madness!
dino_fake_1870_3;Many prominent biologists have begun to worry about Professor Huxley's mental state; he has proposed yet another absurd evolutionary theory: he claims birds are related to reptilian dinosaurs!
dino_fake_1870_title_4;Stegosaurus
dino_fake_1870_4;A new giant and peculiar turtle was discovered in northwestern America. Professor Marsh named it Stegosaurus.
dino_fake_1870_title_5;Pterosaur
dino_fake_1870_5;O.C. Marsh has recently made a breakthrough discovery. Fossils of a flying creature were found in North America; unlike other pterosaurs, this creature appears to be completely toothless.
dino_fake_1870_title_6;Miracle Dragon
dino_fake_1870_6;In the coal-mined strata of Wyoming lies the "remains of a giant prince"; E.D. Cope declared it to be undoubtedly the largest land creature known to date.
dino_fake_1870_title_7;Work in the Bridger Basin
dino_fake_1870_7;Marsh, Cope, and Leidy have moved their excavation sites to the Bridger Basin region of Wyoming. Their camps are miles apart, and reportedly the three top paleontologists never speak to each other.
dino_fake_1870_title_8;No-Confidence Vote
dino_fake_1870_8;Professor Marsh was thrilled to be elected to the prestigious National Academy of Sciences. Professor Cope was reportedly the only one to vote against him.
dino_fake_1870_title_9;Hesperornis
dino_fake_1870_9;Professor Marsh announced the discovery of Hesperornis, a tall, nearly wingless aquatic bird that propelled itself with powerful hind limbs and preyed with a toothed beak.
dino_fake_1870_title_10;Marsh in Sioux Country
dino_fake_1870_10;In what are now remote and desolate regions, Professor Marsh and his team crossed Sioux territory to reach the White River badlands of South Dakota, the most promising excavation site.
dino_fake_1870_title_11;Marsh's Camp Raided!
dino_fake_1870_11;According to reports, O.C. Marsh and his team suffered heavy losses in an Indian raid. Though they escaped hastily, they still safeguarded nearly two tons of fossil bones.
dino_fake_1870_title_12;Abundant Vertebrates
dino_fake_1870_12;Professor Cope sent word from the San Juan River region that he had discovered dozens of new vertebrate species during a geological expedition.
dino_fake_1870_title_13;Como Bluff
dino_fake_1870_13;O.C. Marsh revealed that his two agents discovered logs of fossil bones at Como Bluff in Wyoming. Among the countless new species found were Brontosaurus and Allosaurus.
dino_fake_1880_title_1;Brontosaurus?
dino_fake_1880_1;The Brontosaurus excavated and assembled by paleontologist O.C. Marsh looks very much like the familiar Apatosaurus to the layman. But their skulls are completely different.
dino_fake_1880_title_2;Hor Hoax?
dino_fake_1880_2;E.D. Cope accused O.C. Marsh of stealing Kovalevsky's research on the evolution of the horse. "Everything new he proposed is wrong, and everything correct he proposed is old news," Cope summarized.
dino_fake_1880_title_3;Marsh's Witty Reply
dino_fake_1880_3;"Kovalevsky at least had the decency to shoot himself and end his tragic career. But Cope remains obstinate." O.C. Marsh responded to his opponent's attack.
dino_fake_1880_title_4;Cope's Bible
dino_fake_1880_4;Professor E.D. Cope published the culmination of his life's work, "Vertebrata of the Tertiary Formations of the West," a massive thousand-page tome covering most aspects of the discipline.
dino_fake_1880_title_5;Cope's "Bring Down Marsh" Plan
dino_fake_1880_5;Cope gathered materials on Marsh's scientific errors and unethical conduct by interviewing Marsh's past and present employees, hoping to ruin Marsh's scientific reputation.
dino_fake_1880_title_6;Iguanodon, Everywhere Iguanodon!
dino_fake_1880_6;Abundant fossils of this dinosaur were discovered in the town of Bernissart. Dr. Dollo studied them and concluded they were bipedal, confirming what Dr. Mantell had once proposed years ago.
dino_fake_1880_title_7;Dinosaur Classification
dino_fake_1880_7;In the midst of chaotic early dinosaur classification, Professor Seely proposed that dinosaurs should be classified by their pelvis. This divided dinosaurs into two orders: Saurischia and Ornithischia.
dino_fake_1880_title_8;Stegosaurus News
dino_fake_1880_8;As more information about Stegosaurus was unearthed, Professor Marsh now believes this animal was not a turtle but an unusual dinosaur.
dino_fake_1880_title_9;Sauropods
dino_fake_1880_9;This group of dinosaurs possessed bodies far larger than the largest land animals known today. Cetiosaurus, Gigantosaurus, Rhabdodon, Brontosaurus, and Diplodocus all belong to this group.
dino_fake_1880_title_10;Ceratopsian
dino_fake_1880_10;Professor Marsh discovered a new type of horned dinosaur. This shows that the diversity of these giant lizards exceeds our expectations.
dino_fake_1880_title_11;Allosaurus
dino_fake_1880_11;This giant carnivorous dinosaur reported by Professor Marsh seems like a nightmare. Its skull with enormous teeth is very frightening.
dino_fake_1880_title_12;Ceratosaurus
dino_fake_1880_12;O.C. Marsh announced that the fused metatarsals of this newly discovered dinosaur further close the gap between birds and dinosaurs.
dino_fake_1880_title_13;Coelophysis
dino_fake_1880_13;Professor Cope named a new dinosaur Coelophysis, derived from its very distinctive bone structure.
dino_fake_1880_title_14;Amphicoelias
dino_fake_1880_14;Professor Cope described a new dinosaur called Amphicoelias. Its vertebrae and femur were so large that its overall size could not be calculated.
dino_fake_1880_title_15;Diphodosaurus
dino_fake_1880_15;This is a big one. This massive lizard was discovered by E.D. Cope; thankfully it is a herbivore, otherwise our nightmares might be even more terrifying.
dino_fake_1890_title_1;Triceratops
dino_fake_1890_1;O.C. Marsh announced that horned skulls he had previously attributed to some giant, rare Pliocene mammal (similar to a bison) actually belonged to a dinosaur he named "Triceratops."
dino_fake_1890_title_2;Scientists' War
dino_fake_1890_2;Cope, angered by authorities' attempts to confiscate his fossil collection, published a series of articles in the New York Herald attacking Marsh and his political backers at the U.S. Geological Survey.
dino_fake_1890_title_3;Geological Survey Budget Cut
dino_fake_1890_3;According to recent reports, the U.S. National Geological Survey's budget has been mismanaged and unevenly allocated. Congress decided to cut the department's funding and disband the office of the chief paleontologist.
dino_fake_1890_title_4;Torosaurus
dino_fake_1890_4;This horned dinosaur possesses arguably the largest head of any known animal. The head frill of this species is remarkably long, far exceeding that of Triceratops.
dino_fake_1900_title_1;Cope's Skull
dino_fake_1900_1;Reportedly, Cope has donated his own skull to scientific research after his death, to be compared with Marsh's skull, resolving their feud by measuring their brain intelligence...
dino_fake_1900_title_2;Marsh's Skull
dino_fake_1900_2;Marsh refused Cope's final challenge, declining to donate his own skull, and in retaliation sentenced his rival's skull to eternal storage in a box at the University of Pennsylvania...
dino_fake_1920_title_1;Velociraptor
dino_fake_1920_1;A new species discovered by Peter Kaisen in Mongolia is considered an intelligent pack hunter. Reportedly, Mr. Kaisen called the reassembled specimen "clever girl."
dino_fake_1930_title_1;Nyasasaurus
dino_fake_1930_1;Fossils of Nyasasaurus were discovered by Francis Parrington near Lake Nyasa in southern Tanzania. The fossil remains are very incomplete, but reportedly they are older than any known dinosaur...
KEYNAME;text
